ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
1,1,650,6212,650
2,2,1120,6212,1120
2,2,1590,6212,1590
3,3,2060,6212,2060
4,4,2870,6212,2870
5,12,2870,6212,2870
5,12,3190,6212,3190
6,13,4000,6212,4000
7,14,4480,6212,4480
8,15,5290,6212,5290
8,15,5340,6212,5340
9,17,5810,6212,5810
9,17,6030,6212,6030
9,17,6030,6212,6030
9,17,6500,6212,6500
9,17,6820,6212,6820
9,17,7140,6212,7140
10,18,7730,6212,7730
10,18,7960,6212,7960
11,20,8430,6212,8430
11,20,8750,6212,8750
11,20,9220,6212,9220
11,20,9690,6212,9690
12,22,10160,6212,10160
12,22,10970,6212,10970
12,22,10970,6212,10970
13,23,11780,6212,11780
13,23,12250,6212,12250
14,25,12720,6212,12720
14,25,13530,6212,13530
15,27,14180,6212,14180
15,27,14990,6212,14990
15,27,15310,6212,15310
15,27,15780,6212,15780
15,27,15940,6212,15940
16,28,16410,6212,16410
17,29,16850,6212,16850
18,30,17320,6212,17320
19,31,17780,6212,17780
20,32,18370,6212,18370
21,34,18840,6212,18840
21,34,19490,6212,19490
22,35,20300,6212,20300
22,35,20300,6212,20300
22,35,20620,6212,20620
23,36,21430,6212,21430
24,37,22240,6212,22240
25,38,23050,6212,23050
25,38,23050,6212,23050
25,38,23370,6212,23370
25,38,23590,6212,23590
26,39,24400,6212,24400
26,39,24400,6212,24400
27,40,25210,6212,25210
27,40,25370,6212,25370
28,41,26180,6212,26180
29,42,26650,6212,26650
30,44,27120,6212,27120
30,44,27930,6212,27930
31,45,28400,6212,28400
32,46,28870,6212,28870
32,46,29190,6212,29190
33,48,29510,6212,29510
34,56,29510,6212,29510
34,56,29510,6212,29510
34,56,30160,6212,30160
34,56,30630,6212,30630
35,58,31440,6212,31440
35,58,31910,6212,31910
35,58,32560,6212,32560
36,60,33370,6212,33370
36,60,33840,6212,33840
36,60,34310,6212,34310
37,62,34780,6212,34780
37,62,35260,6212,35260
38,64,36070,6212,36070
38,64,36880,6212,36880
39,66,37690,6212,37690
39,66,38160,6212,38160
39,66,38160,6212,38160
40,68,38970,6212,38970
40,68,39620,6212,39620
40,68,40090,6212,40090
40,68,40410,6212,40410
41,70,41060,6212,41060
41,70,41870,6212,41870
42,72,42680,6212,42680
42,72,43150,6212,43150
42,72,43620,6212,43620
43,74,44090,6212,44090
43,74,44900,6212,44900
44,76,45370,6212,45370
44,76,45830,6212,45830
44,76,46060,6212,46060
44,76,46530,6212,46530
44,76,47000,6212,47000
44,76,47000,6212,47000
45,78,47470,6212,47470
45,78,47940,6212,47940
45,78,48410,6212,48410
45,78,48730,6212,48730
45,78,48730,6212,48730
45,78,49200,6212,49200
45,78,49360,6212,49360
46,80,49580,6212,49580
46,80,50050,6212,50050
46,80,50520,6212,50520
47,82,51330,6212,51330
47,82,52140,6212,52140
48,84,52950,6212,52950
48,84,53320,6212,53320
48,84,53790,6212,53790
49,86,54600,6212,54600
49,86,54600,6212,54600
49,86,55060,6212,55060
49,86,55380,6212,55380
50,88,56190,6212,56190
50,88,56660,6212,56660
50,88,57470,6212,57470
50,88,57470,6212,57470
51,90,57940,6212,57940
51,90,57940,6212,57940
51,90,58410,6212,58410
52,98,58410,6212,58410
52,98,58640,6212,58640
52,98,58640,6212,58640
52,98,59450,6212,59450
53,100,60260,6212,60260
53,100,60260,6212,60260
53,100,60260,6212,60260
53,100,60730,6212,60730
54,102,61540,6212,61540
54,102,61860,6212,61860
55,104,62670,6212,62670
55,104,63480,6212,63480
55,104,64130,6212,64130
56,106,64600,6212,64600
56,106,65410,6212,65410
56,106,65730,6212,65730
57,108,66540,6212,66540
57,108,67350,6212,67350
58,110,67820,6212,67820
58,110,68470,6212,68470
58,110,68700,6212,68700
59,112,69510,6212,69510
59,112,70320,6212,70320
59,112,70780,6212,70780
59,112,70780,6212,70780
60,114,71590,6212,71590
60,114,71590,6212,71590
60,114,71910,6212,71910
60,114,71910,6212,71910
60,114,72720,6212,72720
60,114,72720,6212,72720
61,116,73190,6212,73190
61,116,73420,6212,73420
61,116,74230,6212,74230
62,118,74880,6212,74880
62,118,75690,6212,75690
63,120,76500,6212,76500
63,120,76500,6212,76500
63,120,76970,6212,76970
64,122,77780,6212,77780
64,122,78590,6212,78590
65,124,79240,6212,79240
65,124,79710,6212,79710
65,124,80520,6212,80520
65,124,80840,6212,80840
66,132,80840,6212,80840
67,134,81430,6212,81430
67,134,81430,6212,81430
67,134,82240,6212,82240
68,136,82710,6212,82710
68,136,82710,6212,82710
68,136,83170,6212,83170
68,136,83980,6212,83980
69,138,84450,6212,84450
69,138,84920,6212,84920
69,138,85730,6212,85730
70,140,86540,6212,86540
70,140,87130,6212,87130
71,142,87600,6212,87600
71,142,88070,6212,88070
71,142,88880,6212,88880
72,144,89350,6212,89350
72,144,89720,6212,89720
72,144,90530,6212,90530
72,144,90990,6212,90990
73,146,91800,6212,91800
73,146,91960,6212,91960
73,146,92280,6212,92280
73,146,92750,6212,92750
74,148,93560,6212,93560
74,148,93560,6212,93560
74,148,93560,6212,93560
74,148,93560,6212,93560
74,148,93790,6212,93790
74,148,94600,6212,94600
74,148,94600,6212,94600
74,148,95070,6212,95070
75,150,95540,6212,95540
76,158,95540,6212,95540
76,158,96190,6212,96190
77,160,97000,6212,97000
77,160,97810,6212,97810
78,162,98620,6212,98620
78,162,99100,6212,99100
78,162,99570,6212,99570
79,164,100160,6212,100160
79,164,100630,6212,100630
79,164,100950,6212,100950
79,164,101420,6212,101420
80,166,101740,6212,101740
80,166,101740,6212,101740
80,166,101740,6212,101740
80,166,101970,6212,101970
81,168,102440,6212,102440
81,168,103250,6212,103250
81,168,103250,6212,103250
81,168,103480,6212,103480
81,168,103950,6212,103950
81,168,104180,6212,104180
81,168,104500,6212,104500
81,168,104500,6212,104500
82,170,105090,6212,105090
82,170,105560,6212,105560
82,170,106030,6212,106030
83,172,106840,6212,106840
83,172,107310,6212,107310
84,174,107960,6212,107960
84,174,108770,6212,108770
85,176,109230,6212,109230
86,184,109230,6212,109230
86,184,110040,6212,110040
87,186,110850,6212,110850
87,186,111660,6212,111660
87,186,112130,6212,112130
88,188,112940,6212,112940
88,188,113590,6212,113590
89,190,114400,6212,114400
89,190,114870,6212,114870
90,192,115680,6212,115680
90,192,116150,6212,116150
90,192,116960,6212,116960
91,194,117770,6212,117770
91,194,118580,6212,118580
92,196,119050,6212,119050
92,196,119860,6212,119860
92,196,120320,6212,120320
92,196,120640,6212,120640
92,196,120960,6212,120960
93,198,121430,6212,121430
93,198,121750,6212,121750
93,198,122070,6212,122070
93,198,122300,6212,122300
93,198,123110,6212,123110
94,200,123920,6212,123920
94,200,123920,6212,123920
94,200,124240,6212,124240
94,200,124710,6212,124710
95,202,125180,6212,125180
96,204,125830,6212,125830
96,204,126640,6212,126640
97,206,127450,6212,127450
97,206,127680,6212,127680
97,206,128490,6212,128490
97,206,128960,6212,128960
98,208,129770,6212,129770
98,208,130000,6212,130000
98,208,130460,6212,130460
99,210,131270,6212,131270
99,210,132080,6212,132080
100,212,132890,6212,132890
100,212,133360,6212,133360
100,212,134170,6212,134170
100,212,134330,6212,134330
101,214,134980,6212,134980
101,214,134980,6212,134980
101,214,135210,6212,135210
101,214,135680,6212,135680
101,214,135680,6212,135680
102,216,136230,6212,136230
102,216,137040,6212,137040
102,216,137510,6212,137510
103,218,137980,6212,137980
103,218,138450,6212,138450
103,218,139260,6212,139260
103,218,139580,6212,139580
103,218,139900,6212,139900
104,220,140710,6212,140710
104,220,140710,6212,140710
104,220,141180,6212,141180
105,222,141990,6212,141990
105,222,142460,6212,142460
105,222,142680,6212,142680
106,224,143490,6212,143490
106,224,144300,6212,144300
106,224,144520,6212,144520
107,226,145330,6212,145330
107,226,146140,6212,146140
108,228,146950,6212,146950
108,228,147760,6212,147760
109,230,148350,6212,148350
109,230,149160,6212,149160
109,230,149530,6212,149530
110,232,150180,6212,150180
110,232,150340,6212,150340
110,232,150340,6212,150340
110,232,151150,6212,151150
110,232,151150,6212,151150
110,232,151470,6212,151470
110,232,151630,6212,151630
111,234,152440,6212,152440
111,234,152440,6212,152440
111,234,152910,6212,152910
111,234,153140,6212,153140
111,234,153140,6212,153140
112,236,153790,6212,153790
113,238,154440,6212,154440
113,238,155250,6212,155250
113,238,155800,6212,155800
114,240,156270,6212,156270
114,240,156590,6212,156590
114,240,157400,6212,157400
115,242,157990,6212,157990
115,242,158800,6212,158800
116,244,159450,6212,159450
116,244,159920,6212,159920
116,244,160390,6212,160390
117,246,161200,6212,161200
117,246,162010,6212,162010
118,248,162820,6212,162820
118,248,163630,6212,163630
118,248,163740,6212,163740
119,250,164290,6212,164290
119,250,164510,6212,164510
119,250,164980,6212,164980
120,252,165790,6212,165790
120,252,166260,6212,166260
121,260,166260,6212,166260
121,260,166490,6212,166490
121,260,167300,6212,167300
122,262,168110,6212,168110
122,262,168920,6212,168920
123,264,169730,6212,169730
123,264,170050,6212,170050
123,264,170520,6212,170520
123,264,170990,6212,170990
124,266,171450,6212,171450
124,266,172100,6212,172100
124,266,172420,6212,172420
125,268,173230,6212,173230
125,268,173450,6212,173450
125,268,174260,6212,174260
126,270,174810,6212,174810
126,270,174920,6212,174920
126,270,175390,6212,175390
126,270,175860,6212,175860
127,272,176670,6212,176670
127,272,176670,6212,176670
127,272,177480,6212,177480
127,272,177710,6212,177710
128,274,178520,6212,178520
128,274,179330,6212,179330
128,274,179800,6212,179800
128,274,179800,6212,179800
129,276,180610,6212,180610
129,276,181080,6212,181080
130,278,181890,6212,181890
130,278,182700,6212,182700
131,280,183250,6212,183250
131,280,184060,6212,184060
131,280,184530,6212,184530
131,280,184640,6212,184640
131,280,184640,6212,184640
132,282,185450,6212,185450
132,282,185910,6212,185910
132,282,185910,6212,185910
133,284,186720,6212,186720
133,284,187190,6212,187190
133,284,187410,6212,187410
133,284,187730,6212,187730
133,284,188540,6212,188540
133,284,188540,6212,188540
134,286,189350,6212,189350
134,286,190160,6212,190160
135,288,190970,6212,190970
135,288,191780,6212,191780
135,288,192100,6212,192100
136,290,192560,6212,192560
136,290,193370,6212,193370
137,292,194180,6212,194180
137,292,194650,6212,194650
137,292,195460,6212,195460
138,300,195460,6212,195460
139,302,195930,6212,195930
139,302,195930,6212,195930
139,302,196740,6212,196740
140,304,197550,6212,197550
140,304,198020,6212,198020
140,304,198830,6212,198830
141,306,199300,6212,199300
141,306,199890,6212,199890
141,306,200360,6212,200360
142,308,200910,6212,200910
142,308,201140,6212,201140
142,308,201790,6212,201790
143,310,202600,6212,202600
143,310,203250,6212,203250
144,312,203710,6212,203710
145,314,204180,6212,204180
145,314,204180,6212,204180
145,314,204180,6212,204180
145,314,204830,6212,204830
145,314,205300,6212,205300
145,314,205670,6212,205670
146,316,206220,6212,206220
146,316,206450,6212,206450
146,316,207260,6212,207260
146,316,207260,6212,207260
146,316,207730,6212,207730
147,324,207730,6212,207730
148,326,208540,6212,208540
148,326,209000,6212,209000
148,326,209000,6212,209000
149,328,209470,6212,209470
149,328,210280,6212,210280
150,330,211090,6212,211090
150,330,211410,6212,211410
150,330,212220,6212,212220
151,332,213030,6212,213030
151,332,213680,6212,213680
151,332,214000,6212,214000
151,332,214470,6212,214470
151,332,214690,6212,214690
152,334,215340,6212,215340
152,334,215810,6212,215810
153,336,216620,6212,216620
153,336,217270,6212,217270
153,336,217740,6212,217740
153,336,217740,6212,217740
154,338,218550,6212,218550
154,338,219020,6212,219020
155,340,219830,6212,219830
155,340,220150,6212,220150
155,340,220470,6212,220470
155,340,221280,6212,221280
156,342,222090,6212,222090
156,342,222900,6212,222900
157,344,223710,6212,223710
157,344,223710,6212,223710
157,344,224180,6212,224180
158,352,224180,6212,224180
158,352,224830,6212,224830
159,354,225640,6212,225640
159,354,226290,6212,226290
160,356,226760,6212,226760
160,356,227080,6212,227080
160,356,227550,6212,227550
160,356,228360,6212,228360
161,358,229170,6212,229170
161,358,229170,6212,229170
161,358,229640,6212,229640
162,360,230290,6212,230290
162,360,230880,6212,230880
162,360,231200,6212,231200
163,362,232010,6212,232010
163,362,232820,6212,232820
164,364,233630,6212,233630
164,364,234440,6212,234440
165,366,235030,6212,235030
165,366,235840,6212,235840
166,368,236430,6212,236430
166,368,236430,6212,236430
166,368,237240,6212,237240
167,370,238050,6212,238050
167,370,238860,6212,238860
168,372,239670,6212,239670
168,372,239990,6212,239990
168,372,240640,6212,240640
169,374,241450,6212,241450
169,374,241450,6212,241450
169,374,241770,6212,241770
169,374,242580,6212,242580
169,374,243050,6212,243050
170,376,243520,6212,243520
170,376,244330,6212,244330
171,378,245140,6212,245140
171,378,245600,6212,245600
171,378,246070,6212,246070
172,380,246880,6212,246880
172,380,247200,6212,247200
172,380,248010,6212,248010
173,382,248820,6212,248820
173,382,249630,6212,249630
173,382,250100,6212,250100
174,384,250910,6212,250910
174,384,251370,6212,251370
175,386,251840,6212,251840
175,386,252650,6212,252650
176,388,253460,6212,253460
176,388,253460,6212,253460
176,388,254270,6212,254270
176,388,254500,6212,254500
177,390,255150,6212,255150
177,390,255310,6212,255310
177,390,255310,6212,255310
177,390,255780,6212,255780
177,390,256250,6212,256250
178,392,256800,6212,256800
178,392,257030,6212,257030
178,392,257840,6212,257840
178,392,258160,6212,258160
179,394,258710,6212,258710
179,394,258870,6212,258870
179,394,259340,6212,259340
179,394,259660,6212,259660
179,394,260130,6212,260130
179,394,260360,6212,260360
180,396,261170,6212,261170
180,396,261760,6212,261760
180,396,262230,6212,262230
181,398,262880,6212,262880
181,398,262880,6212,262880
181,398,263690,6212,263690
181,398,264150,6212,264150
182,400,264960,6212,264960
182,400,265430,6212,265430
182,400,265590,6212,265590
182,400,266060,6212,266060
183,402,266710,6212,266710
183,402,266820,6212,266820
184,410,266820,6212,266820
184,410,267290,6212,267290
185,412,267940,6212,267940
185,412,268750,6212,268750
186,414,269300,6212,269300
186,414,270110,6212,270110
187,416,270920,6212,270920
187,416,271470,6212,271470
187,416,271470,6212,271470
187,416,271940,6212,271940
188,418,272750,6212,272750
188,418,273220,6212,273220
188,418,273220,6212,273220
188,418,273440,6212,273440
189,420,274250,6212,274250
189,420,275060,6212,275060
189,420,275530,6212,275530
190,422,276000,6212,276000
190,422,276320,6212,276320
190,422,276790,6212,276790
190,422,276790,6212,276790
190,422,277110,6212,277110
190,422,277580,6212,277580
190,422,277930,6212,277930
190,422,278160,6212,278160
190,422,278270,6212,278270
190,422,278590,6212,278590
190,422,278910,6212,278910
190,422,279380,6212,279380
191,430,279380,6212,279380
191,430,279700,6212,279700
192,432,280510,6212,280510
192,432,280830,6212,280830
192,432,281640,6212,281640
193,434,282110,6212,282110
193,434,282920,6212,282920
193,434,282920,6212,282920
193,434,283240,6212,283240
194,436,283710,6212,283710
194,436,284030,6212,284030
194,436,284030,6212,284030
194,436,284500,6212,284500
194,436,285310,6212,285310
195,438,286120,6212,286120
195,438,286580,6212,286580
195,438,287040,6212,287040
196,440,287270,6212,287270
196,440,287920,6212,287920
196,440,288730,6212,288730
197,442,289540,6212,289540
197,442,289700,6212,289700
197,442,289920,6212,289920
197,442,290240,6212,290240
198,444,290790,6212,290790
199,446,291440,6212,291440
199,446,291440,6212,291440
199,446,291810,6212,291810
199,446,292280,6212,292280
199,446,292280,6212,292280
199,446,292280,6212,292280
199,446,293090,6212,293090
200,448,293410,6212,293410
200,448,294220,6212,294220
201,450,294690,6212,294690
201,450,295160,6212,295160
201,450,295160,6212,295160
201,450,295480,6212,295480
201,450,295800,6212,295800
201,450,296170,6212,296170
202,452,296980,6212,296980
203,460,296980,6212,296980
203,460,297790,6212,297790
204,462,298380,6212,298380
204,462,298820,6212,298820
205,464,299630,6212,299630
205,464,299630,6212,299630
205,464,299630,6212,299630
205,464,300440,6212,300440
206,466,301250,6212,301250
206,466,301250,6212,301250
206,466,301620,6212,301620
206,466,301620,6212,301620
206,466,301940,6212,301940
206,466,301940,6212,301940
206,466,302410,6212,302410
207,468,303220,6212,303220
207,468,303690,6212,303690
207,468,304010,6212,304010
208,470,304820,6212,304820
208,470,305140,6212,305140
208,470,305790,6212,305790
209,472,306260,6212,306260
209,472,307070,6212,307070
210,474,307880,6212,307880
210,474,308690,6212,308690
210,474,309010,6212,309010
210,474,309330,6212,309330
210,474,309490,6212,309490
210,474,309960,6212,309960
211,476,310770,6212,310770
211,476,311580,6212,311580
212,478,312050,6212,312050
212,478,312860,6212,312860
212,478,312860,6212,312860
212,478,313330,6212,313330
213,480,314140,6212,314140
213,480,314950,6212,314950
214,482,315760,6212,315760
214,482,316310,6212,316310
215,484,317120,6212,317120
215,484,317670,6212,317670
216,486,318140,6212,318140
216,486,318610,6212,318610
216,486,319420,6212,319420
216,486,319650,6212,319650
217,488,320120,6212,320120
217,488,320670,6212,320670
218,490,321480,6212,321480
218,490,321940,6212,321940
218,490,322160,6212,322160
218,490,322160,6212,322160
218,490,322160,6212,322160
218,490,322750,6212,322750
219,492,323560,6212,323560
219,492,324210,6212,324210
220,494,324860,6212,324860
220,494,325670,6212,325670
220,494,325830,6212,325830
221,496,326480,6212,326480
221,496,326950,6212,326950
222,498,327760,6212,327760
222,498,328230,6212,328230
222,498,329040,6212,329040
223,500,329850,6212,329850
223,500,330170,6212,330170
223,500,330720,6212,330720
224,502,331190,6212,331190
224,502,332000,6212,332000
225,504,332810,6212,332810
225,504,333130,6212,333130
225,504,333600,6212,333600
225,504,334410,6212,334410
226,506,334880,6212,334880
226,506,335200,6212,335200
226,506,335200,6212,335200
226,506,335200,6212,335200
226,506,335420,6212,335420
226,506,336070,6212,336070
227,508,336880,6212,336880
227,508,337690,6212,337690
227,508,337690,6212,337690
227,508,338150,6212,338150
228,510,338610,6212,338610
228,510,339420,6212,339420
229,512,340230,6212,340230
229,512,341040,6212,341040
230,514,341850,6212,341850
230,514,342660,6212,342660
231,516,343470,6212,343470
231,516,343790,6212,343790
231,516,344250,6212,344250
231,516,344720,6212,344720
231,516,345040,6212,345040
232,518,345850,6212,345850
232,518,346320,6212,346320
233,520,347130,6212,347130
233,520,347450,6212,347450
233,520,347920,6212,347920
233,520,348730,6212,348730
234,522,349200,6212,349200
235,524,349850,6212,349850
235,524,350320,6212,350320
235,524,351130,6212,351130
235,524,351600,6212,351600
